id,requested_url,checked_at_utc,status,final_url,title_values,h1_values,meta_description_values,canonical_values,meta_robots,x_robots_tag,fetch_error
PG-027,https://pianogrid.com/chords/f-sharp-7,2026-09-24T23:53:20.187469+00:00,200,https://pianogrid.com/chords/f-sharp-7,"[""F♯7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""F♯7 Chord""]","[""Learn the F♯7 chord on piano: F♯, A♯, C♯ and E. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/f-sharp-7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-028,https://pianogrid.com/chords/f-sharp-diminished,2026-09-24T23:53:20.334391+00:00,200,https://pianogrid.com/chords/f-sharp-diminished,"[""F♯ Diminished Piano Chord (F♯dim): Notes & Inversions""]","[""F♯ Diminished Piano Chord""]","[""Find the f♯ diminished chord on piano: F♯, A, C. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/f-sharp-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-029,https://pianogrid.com/chords/g-sharp-minor,2026-09-24T23:53:21.732563+00:00,200,https://pianogrid.com/chords/g-sharp-minor,"[""G-sharp Minor Piano Chord (G♯m): Notes, Inversions & PDF""]","[""G-sharp Minor Piano Chord""]","[""Find the g-sharp minor chord on piano: G♯, B, D♯. See keyboard positions, compare three inversions, hear the notes and print a reference.""]","[""https://pianogrid.com/chords/g-sharp-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-030,https://pianogrid.com/chords/g-sus4,2026-09-24T23:53:21.819189+00:00,200,https://pianogrid.com/chords/g-sus4,"[""Gsus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Gsus4 Chord""]","[""Learn the Gsus4 chord on piano: G, C and D. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/g-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-031,https://pianogrid.com/scales/a-sharp-minor,2026-09-24T23:53:23.138497+00:00,200,https://pianogrid.com/scales/a-sharp-minor,"[""A-Sharp Minor Scale on Piano: Natural, Harmonic & Melodic | PianoGrid""]","[""A# Minor Scale on Piano: Natural, Harmonic & Melodic""]","[""Find the notes of A# minor, compare its three forms and descending patterns, and read source-checked piano fingerings.""]","[""https://pianogrid.com/scales/a-sharp-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-032,https://pianogrid.com/scales/b-major,2026-09-24T23:53:23.338861+00:00,200,https://pianogrid.com/scales/b-major,"[""B Major Piano Scale: Notes and Fingering | PianoGrid""]","[""B Major Piano Scale: Notes and Fingering""]","[""See B major notes, key signature, keyboard pitches and separately verified one-octave fingering for each hand and direction.""]","[""https://pianogrid.com/scales/b-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-033,https://pianogrid.com/chords/a-maj7,2026-09-24T23:53:24.830749+00:00,200,https://pianogrid.com/chords/a-maj7,"[""Amaj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Amaj7 Chord""]","[""Learn the Amaj7 chord on piano: A, C♯, E and G♯. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/a-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-034,https://pianogrid.com/chords/b-flat-diminished,2026-09-24T23:53:25.003047+00:00,200,https://pianogrid.com/chords/b-flat-diminished,"[""B♭ Diminished Piano Chord (B♭dim): Notes & Inversions""]","[""B♭ Diminished Piano Chord""]","[""Find the b♭ diminished chord on piano: B♭, D♭, F♭. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/b-flat-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-035,https://pianogrid.com/chords/c-major,2026-09-24T23:53:26.414753+00:00,200,https://pianogrid.com/chords/c-major,"[""C Major Chord: Piano Notes, Inversions & Practice | PianoGrid""]","[""C Major Chord""]","[""Learn the C major chord on piano with C–E–G notes, keyboard diagrams, inversions and fingering examples. Hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/c-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-036,https://pianogrid.com/scales/b-flat-major,2026-09-24T23:53:26.564984+00:00,200,https://pianogrid.com/scales/b-flat-major,"[""B-Flat Major Piano Scale: Notes and Fingering | PianoGrid""]","[""B-Flat Major Piano Scale: Notes and Fingering""]","[""See B-flat major notes, key signature, keyboard pitches and separately verified one-octave fingering for each hand and direction.""]","[""https://pianogrid.com/scales/b-flat-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-037,https://pianogrid.com/scales/g-minor,2026-09-24T23:53:27.859227+00:00,200,https://pianogrid.com/scales/g-minor,"[""G Minor Scale on Piano: Natural, Harmonic & Melodic | PianoGrid""]","[""G Minor Scale on Piano: Natural, Harmonic & Melodic""]","[""Find the notes of G minor, compare its three forms and descending patterns, and read source-checked piano fingerings.""]","[""https://pianogrid.com/scales/g-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-038,https://pianogrid.com/chords/d-augmented,2026-09-24T23:53:28.194487+00:00,200,https://pianogrid.com/chords/d-augmented,"[""D Augmented Piano Chord (Daug): Notes & Inversions | PianoGrid""]","[""D Augmented Piano Chord""]","[""Find the D augmented chord on piano: D, F♯, A♯. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/d-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-039,https://pianogrid.com/chords/d-sus2,2026-09-24T23:53:29.323118+00:00,200,https://pianogrid.com/chords/d-sus2,"[""Dsus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Dsus2 Chord""]","[""Learn the Dsus2 chord on piano: D, E and A. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/d-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-040,https://pianogrid.com/chords/d-sus4,2026-09-24T23:53:29.650242+00:00,200,https://pianogrid.com/chords/d-sus4,"[""Dsus4 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Dsus4 Chord""]","[""Learn the Dsus4 chord on piano: D, G and A. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/d-sus4""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-041,https://pianogrid.com/chords/e-flat-7,2026-09-24T23:53:30.976896+00:00,200,https://pianogrid.com/chords/e-flat-7,"[""E♭7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""E♭7 Chord""]","[""Learn the E♭7 chord on piano: E♭, G, B♭ and D♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/e-flat-7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-042,https://pianogrid.com/chords/e-flat-diminished,2026-09-24T23:53:31.072421+00:00,200,https://pianogrid.com/chords/e-flat-diminished,"[""E♭ Diminished Piano Chord (E♭dim): Notes & Inversions""]","[""E♭ Diminished Piano Chord""]","[""Find the e♭ diminished chord on piano: E♭, G♭, B𝄫. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/e-flat-diminished""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-043,https://pianogrid.com/chords/g-augmented,2026-09-24T23:53:32.445519+00:00,200,https://pianogrid.com/chords/g-augmented,"[""G Augmented Piano Chord (Gaug): Notes & Inversions | PianoGrid""]","[""G Augmented Piano Chord""]","[""Find the G augmented chord on piano: G, B, D♯. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/g-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-044,https://pianogrid.com/scales/chromatic,2026-09-24T23:53:32.618332+00:00,200,https://pianogrid.com/scales/chromatic,"[""Chromatic Scale on Piano | PianoGrid""]","[""Chromatic Scale on Piano""]","[""Read one-octave chromatic scales from C and G, including white-key half steps and alternative note spellings.""]","[""https://pianogrid.com/scales/chromatic""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-045,https://pianogrid.com/scales/e-flat-major,2026-09-24T23:53:33.914017+00:00,200,https://pianogrid.com/scales/e-flat-major,"[""E-Flat Major Piano Scale: Notes and Fingering | PianoGrid""]","[""E-Flat Major Piano Scale: Notes and Fingering""]","[""See E-flat major notes, key signature, keyboard pitches and separately verified one-octave fingering for each hand and direction.""]","[""https://pianogrid.com/scales/e-flat-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-046,https://pianogrid.com/scales/f-sharp-minor,2026-09-24T23:53:34.281971+00:00,200,https://pianogrid.com/scales/f-sharp-minor,"[""F-Sharp Minor Scale on Piano: Natural, Harmonic & Melodic | PianoGrid""]","[""F# Minor Scale on Piano: Natural, Harmonic & Melodic""]","[""Find the notes of F# minor, compare its three forms and descending patterns, and read source-checked piano fingerings.""]","[""https://pianogrid.com/scales/f-sharp-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-047,https://pianogrid.com/tools/blank-sheet-music,2026-09-24T23:53:35.458446+00:00,200,https://pianogrid.com/tools/blank-sheet-music,"[""Blank Piano Sheet Music PDF — Letter & A4 | PianoGrid""]","[""Blank Piano Sheet Music""]","[""Download free blank piano sheet music with six grand-staff systems. Choose US Letter or A4, preview the page, and print without an account.""]","[""https://pianogrid.com/tools/blank-sheet-music""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-048,https://pianogrid.com/chords/a-flat-7,2026-09-24T23:53:35.714622+00:00,200,https://pianogrid.com/chords/a-flat-7,"[""A♭7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""A♭7 Chord""]","[""Learn the A♭7 chord on piano: A♭, C, E♭ and G♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/a-flat-7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-049,https://pianogrid.com/chords/e-augmented,2026-09-24T23:53:36.681913+00:00,200,https://pianogrid.com/chords/e-augmented,"[""E Augmented Piano Chord (Eaug): Notes & Inversions | PianoGrid""]","[""E Augmented Piano Chord""]","[""Find the E augmented chord on piano: E, G♯, B♯. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/e-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-050,https://pianogrid.com/chords/e-maj7,2026-09-24T23:53:37.308203+00:00,200,https://pianogrid.com/chords/e-maj7,"[""Emaj7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Emaj7 Chord""]","[""Learn the Emaj7 chord on piano: E, G♯, B and D♯. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/e-maj7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-051,https://pianogrid.com/chords/f-add9,2026-09-24T23:53:38.276732+00:00,200,https://pianogrid.com/chords/f-add9,"[""Fadd9 Piano Chord: Notes, Voicings & Practice | PianoGrid""]","[""Fadd9 Piano Chord""]","[""Find Fadd9 notes (F, A, C, G), compare two keyboard layouts, hear each one and practise chord tones or an exact voicing.""]","[""https://pianogrid.com/chords/f-add9""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-052,https://pianogrid.com/scales/c-flat-major,2026-09-24T23:53:38.892566+00:00,200,https://pianogrid.com/scales/c-flat-major,"[""C-Flat Major Piano Scale: Notes and Fingering | PianoGrid""]","[""C-Flat Major Piano Scale: Notes and Fingering""]","[""See C-flat major notes, key signature, keyboard pitches and separately verified one-octave fingering for each hand and direction.""]","[""https://pianogrid.com/scales/c-flat-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-053,https://pianogrid.com/sheet-music/hot-cross-buns,2026-09-24T23:53:39.869379+00:00,200,https://pianogrid.com/sheet-music/hot-cross-buns,"[""Hot Cross Buns Piano Sheet Music: Edition & Access | PianoGrid""]","[""Hot Cross Buns Piano Sheet Music""]","[""Check Hoffman Academy’s Lesson 1 materials for Hot Cross Buns, including its parent-guide context, external access route and beginner practice links.""]","[""https://pianogrid.com/sheet-music/hot-cross-buns""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-054,https://pianogrid.com/chords/a-augmented,2026-09-24T23:53:40.605384+00:00,200,https://pianogrid.com/chords/a-augmented,"[""A Augmented Piano Chord (Aaug): Notes & Inversions | PianoGrid""]","[""A Augmented Piano Chord""]","[""Find the A augmented chord on piano: A, C♯, E♯. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/a-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-055,https://pianogrid.com/chords/c-flat-major,2026-09-24T23:53:41.151030+00:00,200,https://pianogrid.com/chords/c-flat-major,"[""C-flat Major Piano Chord (Cb): Notes, Inversions & PDF""]","[""C-flat Major Piano Chord (C♭)""]","[""Read C-flat major as C-flat, E-flat and G-flat. Match C-flat4 to the B3 key, compare inversions and print an enharmonic reference.""]","[""https://pianogrid.com/chords/c-flat-major""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-056,https://pianogrid.com/chords/c-minor,2026-09-24T23:53:41.882045+00:00,200,https://pianogrid.com/chords/c-minor,"[""C Minor Piano Chord (Cm): Notes, Inversions & PDF | PianoGrid""]","[""C Minor Piano Chord (Cm)""]","[""Learn the C minor piano chord: C, E-flat and G. Compare Cm/E-flat and Cm/G, check the major-minor difference and print the keyboard diagrams.""]","[""https://pianogrid.com/chords/c-minor""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-057,https://pianogrid.com/chords/c-sus2,2026-09-24T23:53:42.707009+00:00,200,https://pianogrid.com/chords/c-sus2,"[""Csus2 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""Csus2 Chord""]","[""Learn the Csus2 chord on piano: C, D and G. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/c-sus2""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-058,https://pianogrid.com/chords/d-flat-7,2026-09-24T23:53:43.355416+00:00,200,https://pianogrid.com/chords/d-flat-7,"[""D♭7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""D♭7 Chord""]","[""Learn the D♭7 chord on piano: D♭, F, A♭ and C♭. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/d-flat-7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-059,https://pianogrid.com/chords/f-augmented,2026-09-24T23:53:44.291849+00:00,200,https://pianogrid.com/chords/f-augmented,"[""F Augmented Piano Chord (Faug): Notes & Inversions | PianoGrid""]","[""F Augmented Piano Chord""]","[""Find the F augmented chord on piano: F, A, C♯. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/f-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-060,https://pianogrid.com/chords/f-sharp-m7,2026-09-24T23:53:44.849538+00:00,200,https://pianogrid.com/chords/f-sharp-m7,"[""F♯m7 Chord: Piano Notes, Inversions, Sound & PDF | PianoGrid""]","[""F♯m7 Chord""]","[""Learn the F♯m7 chord on piano: F♯, A, C♯ and E. See keyboard diagrams, explore inversions, hear the chord and practice finding its notes.""]","[""https://pianogrid.com/chords/f-sharp-m7""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
PG-061,https://pianogrid.com/chords/b-augmented,2026-09-24T23:53:45.945580+00:00,200,https://pianogrid.com/chords/b-augmented,"[""B Augmented Piano Chord (Baug): Notes & Inversions | PianoGrid""]","[""B Augmented Piano Chord""]","[""Find the B augmented chord on piano: B, D♯, F𝄪. See three keyboard positions, sound and a printable reference.""]","[""https://pianogrid.com/chords/b-augmented""]","[{""agent"": ""robots"", ""content"": ""index, follow""}]",,
