site_volume_rank,volume_us,path,url,group,page_kind,primary_keyword,volume_status,in_sitemap,bing_submitted,bing_submitted_date,notes
73,880,/scales/d-minor,https://pianogrid.com/scales/d-minor,scales,detail,d minor scale piano,url_plan_2026-09-08,yes,no,,
74,880,/scales/e-major,https://pianogrid.com/scales/e-major,scales,detail,e major scale piano,url_plan_2026-09-08,yes,no,,
75,720,/chords/a-sus2,https://pianogrid.com/chords/a-sus2,chords,detail,asus2 chord,semrush_2026-09-17,yes,no,,
76,720,/chords/d-maj7,https://pianogrid.com/chords/d-maj7,chords,detail,dmaj7 chord,semrush_2026-09-17,yes,no,,
77,720,/chords/g-diminished,https://pianogrid.com/chords/g-diminished,chords,detail,g diminished chord,semrush_2026-09-17,yes,no,,
78,720,/scales/b-minor,https://pianogrid.com/scales/b-minor,scales,detail,b minor scale piano,url_plan_2026-09-08,yes,no,,
79,720,/scales/f-minor,https://pianogrid.com/scales/f-minor,scales,detail,f minor scale piano,url_plan_2026-09-08,yes,no,,
80,720,/scales/harmonic-major,https://pianogrid.com/scales/harmonic-major,scales,detail,harmonic major scale,url_plan_2026-09-08,yes,no,,
81,590,/chords/a-sus4,https://pianogrid.com/chords/a-sus4,chords,detail,asus4 chord,semrush_2026-09-17,yes,no,,
82,590,/chords/b-flat-7,https://pianogrid.com/chords/b-flat-7,chords,detail,bb7 chord,semrush_2026-09-17,yes,no,,
83,590,/chords/c-augmented,https://pianogrid.com/chords/c-augmented,chords,detail,c augmented chord,semrush_2026-09-17,yes,no,,
84,590,/chords/e-flat-minor,https://pianogrid.com/chords/e-flat-minor,chords,detail,e flat minor chord,semrush_2026-09-17,yes,no,,
85,590,/chords/e-major,https://pianogrid.com/chords/e-major,chords,detail,piano e chord,url_plan_2026-09-08,yes,no,,
86,590,/chords/f-diminished,https://pianogrid.com/chords/f-diminished,chords,detail,f diminished chord,semrush_2026-09-17,yes,no,,
87,590,/chords/f-sharp-7,https://pianogrid.com/chords/f-sharp-7,chords,detail,f#7 chord,semrush_2026-09-17,yes,no,,
88,590,/chords/f-sharp-diminished,https://pianogrid.com/chords/f-sharp-diminished,chords,detail,f sharp diminished chord,semrush_2026-09-17,yes,no,,
89,590,/chords/g-sharp-minor,https://pianogrid.com/chords/g-sharp-minor,chords,detail,g sharp minor chord,semrush_2026-09-17,yes,no,,
90,590,/chords/g-sus4,https://pianogrid.com/chords/g-sus4,chords,detail,gsus4 chord,semrush_2026-09-17,yes,no,,
91,590,/scales/a-sharp-minor,https://pianogrid.com/scales/a-sharp-minor,scales,detail,a# minor scale,url_plan_2026-09-08,yes,no,,
92,590,/scales/b-major,https://pianogrid.com/scales/b-major,scales,detail,b major scale piano,url_plan_2026-09-08,yes,no,,
93,480,/chords/a-maj7,https://pianogrid.com/chords/a-maj7,chords,detail,amaj7 chord,semrush_2026-09-17,yes,no,,
94,480,/chords/b-flat-diminished,https://pianogrid.com/chords/b-flat-diminished,chords,detail,b flat diminished chord,semrush_2026-09-17,yes,no,,
95,480,/chords/c-major,https://pianogrid.com/chords/c-major,chords,detail,c chords piano,url_plan_2026-09-08,yes,yes,2026-09-23,
96,480,/scales/b-flat-major,https://pianogrid.com/scales/b-flat-major,scales,detail,b flat major scale piano,url_plan_2026-09-08,yes,no,,
97,480,/scales/g-minor,https://pianogrid.com/scales/g-minor,scales,detail,g minor scale piano,url_plan_2026-09-08,yes,no,,
98,390,/chords/d-augmented,https://pianogrid.com/chords/d-augmented,chords,detail,d augmented chord,semrush_2026-09-17,yes,no,,
99,390,/chords/d-sus2,https://pianogrid.com/chords/d-sus2,chords,detail,dsus2 chord,semrush_2026-09-17,yes,no,,
100,390,/chords/d-sus4,https://pianogrid.com/chords/d-sus4,chords,detail,dsus4 chord,semrush_2026-09-17,yes,no,,
101,390,/chords/e-flat-7,https://pianogrid.com/chords/e-flat-7,chords,detail,eb7 chord,semrush_2026-09-17,yes,no,,
102,390,/chords/e-flat-diminished,https://pianogrid.com/chords/e-flat-diminished,chords,detail,e flat diminished chord,semrush_2026-09-17,yes,no,,
103,390,/chords/g-augmented,https://pianogrid.com/chords/g-augmented,chords,detail,g augmented chord,semrush_2026-09-17,yes,no,,
104,390,/scales/chromatic,https://pianogrid.com/scales/chromatic,scales,detail,chromatic scale piano,url_plan_2026-09-08,yes,no,,
105,390,/scales/e-flat-major,https://pianogrid.com/scales/e-flat-major,scales,detail,e flat major scale piano,url_plan_2026-09-08,yes,no,,
106,390,/scales/f-sharp-minor,https://pianogrid.com/scales/f-sharp-minor,scales,detail,f#m piano scale,url_plan_2026-09-08,yes,no,,
107,390,/tools/blank-sheet-music,https://pianogrid.com/tools/blank-sheet-music,tools,tool,empty piano sheet music,url_plan_2026-09-08,yes,no,,
108,320,/chords/a-flat-7,https://pianogrid.com/chords/a-flat-7,chords,detail,ab7 chord,semrush_2026-09-17,yes,no,,
109,320,/chords/e-augmented,https://pianogrid.com/chords/e-augmented,chords,detail,e augmented chord,semrush_2026-09-17,yes,no,,
110,320,/chords/e-maj7,https://pianogrid.com/chords/e-maj7,chords,detail,emaj7 chord,semrush_2026-09-17,yes,no,,
111,320,/chords/f-add9,https://pianogrid.com/chords/f-add9,chords,detail,fadd9 chord,semrush_2026-09-17,yes,no,,
112,320,/scales/c-flat-major,https://pianogrid.com/scales/c-flat-major,scales,detail,cb major scale piano,url_plan_2026-09-08,yes,no,,
113,320,/sheet-music/hot-cross-buns,https://pianogrid.com/sheet-music/hot-cross-buns,sheet-music,detail,hot cross buns piano keys,url_plan_2026-09-08,yes,no,,
114,260,/chords/a-augmented,https://pianogrid.com/chords/a-augmented,chords,detail,a augmented chord,semrush_2026-09-17,yes,no,,
115,260,/chords/c-flat-major,https://pianogrid.com/chords/c-flat-major,chords,detail,cb piano chord,url_plan_2026-09-08,yes,no,,
116,260,/chords/c-minor,https://pianogrid.com/chords/c-minor,chords,detail,c minor in piano,url_plan_2026-09-08,yes,no,,
117,260,/chords/c-sus2,https://pianogrid.com/chords/c-sus2,chords,detail,csus2 chord,semrush_2026-09-17,yes,no,,
118,260,/chords/d-flat-7,https://pianogrid.com/chords/d-flat-7,chords,detail,db7 chord,semrush_2026-09-17,yes,no,,
119,260,/chords/f-augmented,https://pianogrid.com/chords/f-augmented,chords,detail,f augmented chord,semrush_2026-09-17,yes,no,,
120,260,/chords/f-sharp-m7,https://pianogrid.com/chords/f-sharp-m7,chords,detail,f#m7 chord,semrush_2026-09-17,yes,no,,
121,210,/chords/b-augmented,https://pianogrid.com/chords/b-augmented,chords,detail,b augmented chord,semrush_2026-09-17,yes,no,,
122,210,/chords/b-maj7,https://pianogrid.com/chords/b-maj7,chords,detail,bmaj7 chord,semrush_2026-09-17,yes,no,,
123,210,/chords/c-sus4,https://pianogrid.com/chords/c-sus4,chords,detail,csus4 chord,semrush_2026-09-17,yes,no,,
124,210,/chords/e-sus4,https://pianogrid.com/chords/e-sus4,chords,detail,esus4 chord,semrush_2026-09-17,yes,no,,
125,170,/chords/a-flat-diminished,https://pianogrid.com/chords/a-flat-diminished,chords,detail,a flat diminished chord,semrush_2026-09-17,yes,no,,
126,170,/chords/b-flat-maj7,https://pianogrid.com/chords/b-flat-maj7,chords,detail,bbmaj7 chord,semrush_2026-09-17,yes,no,,
127,170,/chords/e-flat-maj7,https://pianogrid.com/chords/e-flat-maj7,chords,detail,ebmaj7 chord,semrush_2026-09-17,yes,no,,
128,170,/chords/f-sus2,https://pianogrid.com/chords/f-sus2,chords,detail,fsus2 chord,semrush_2026-09-17,yes,no,,
129,170,/chords/g-add9,https://pianogrid.com/chords/g-add9,chords,detail,gadd9 chord,semrush_2026-09-17,yes,no,,
130,170,/chords/g-sus2,https://pianogrid.com/chords/g-sus2,chords,detail,gsus2 chord,semrush_2026-09-17,yes,no,,
131,140,/chords/a-flat-maj7,https://pianogrid.com/chords/a-flat-maj7,chords,detail,abmaj7 chord,semrush_2026-09-17,yes,no,,
132,140,/chords/b-flat-m7,https://pianogrid.com/chords/b-flat-m7,chords,detail,bbm7 chord,semrush_2026-09-17,yes,no,,
133,140,/chords/b-sus4,https://pianogrid.com/chords/b-sus4,chords,detail,bsus4 chord,semrush_2026-09-17,yes,no,,
134,140,/chords/d-add9,https://pianogrid.com/chords/d-add9,chords,detail,dadd9 chord,semrush_2026-09-17,yes,no,,
135,140,/chords/e-flat-m7,https://pianogrid.com/chords/e-flat-m7,chords,detail,ebm7 chord,semrush_2026-09-17,yes,no,,
136,110,/chords/b-m7-flat5,https://pianogrid.com/chords/b-m7-flat5,chords,detail,b half diminished chord,semrush_2026-09-17,yes,no,,
137,110,/chords/b-sus2,https://pianogrid.com/chords/b-sus2,chords,detail,bsus2 chord,semrush_2026-09-17,yes,no,,
138,110,/chords/d-m7-flat5,https://pianogrid.com/chords/d-m7-flat5,chords,detail,d half diminished chord,semrush_2026-09-17,yes,no,,
139,90,/chords/a-add9,https://pianogrid.com/chords/a-add9,chords,detail,aadd9 chord,semrush_2026-09-17,yes,no,,
140,90,/chords/b-flat-augmented,https://pianogrid.com/chords/b-flat-augmented,chords,detail,b flat augmented chord,semrush_2026-09-17,yes,no,,
141,90,/chords/d-flat-diminished,https://pianogrid.com/chords/d-flat-diminished,chords,detail,d flat diminished chord,semrush_2026-09-17,yes,no,,
142,90,/chords/e-sus2,https://pianogrid.com/chords/e-sus2,chords,detail,esus2 chord,semrush_2026-09-17,yes,no,,
143,90,/chords/f-sharp-maj7,https://pianogrid.com/chords/f-sharp-maj7,chords,detail,f sharp major 7 chord,semrush_2026-09-17,yes,no,,
144,70,/chords/e-flat-augmented,https://pianogrid.com/chords/e-flat-augmented,chords,detail,e flat augmented chord,semrush_2026-09-17,yes,no,,
145,50,/chords/a-flat-m7,https://pianogrid.com/chords/a-flat-m7,chords,detail,abm7 chord,semrush_2026-09-17,yes,no,,
146,50,/chords/a-m7-flat5,https://pianogrid.com/chords/a-m7-flat5,chords,detail,a half diminished chord,semrush_2026-09-17,yes,no,,
147,40,/chords/a-flat-augmented,https://pianogrid.com/chords/a-flat-augmented,chords,detail,a flat augmented chord,semrush_2026-09-17,yes,no,,
148,40,/chords/d-flat-maj7,https://pianogrid.com/chords/d-flat-maj7,chords,detail,dbmaj7 chord,semrush_2026-09-17,yes,no,,
149,30,/chords/e-add9,https://pianogrid.com/chords/e-add9,chords,detail,eadd9 chord,semrush_2026-09-17,yes,no,,
150,20,/chords/a-flat-m7-flat5,https://pianogrid.com/chords/a-flat-m7-flat5,chords,detail,abm7b5 chord,semrush_2026-09-17,yes,no,,
151,20,/chords/a-flat-sus2,https://pianogrid.com/chords/a-flat-sus2,chords,detail,absus2 chord,semrush_2026-09-17,yes,no,,
152,20,/chords/a-flat-sus4,https://pianogrid.com/chords/a-flat-sus4,chords,detail,absus4 chord,semrush_2026-09-17,yes,no,,
153,20,/chords/b-add9,https://pianogrid.com/chords/b-add9,chords,detail,badd9 chord,semrush_2026-09-17,yes,no,,
154,20,/chords/b-flat-add9,https://pianogrid.com/chords/b-flat-add9,chords,detail,bbadd9 chord,semrush_2026-09-17,yes,no,,
155,20,/chords/b-flat-m7-flat5,https://pianogrid.com/chords/b-flat-m7-flat5,chords,detail,bbm7b5 chord,semrush_2026-09-17,yes,no,,
156,20,/chords/b-flat-sus2,https://pianogrid.com/chords/b-flat-sus2,chords,detail,bbsus2 chord,semrush_2026-09-17,yes,no,,
157,20,/chords/b-flat-sus4,https://pianogrid.com/chords/b-flat-sus4,chords,detail,bbsus4 chord,semrush_2026-09-17,yes,no,,
158,20,/chords/c-m7-flat5,https://pianogrid.com/chords/c-m7-flat5,chords,detail,cm7b5 chord,semrush_2026-09-17,yes,no,,
159,20,/chords/d-flat-augmented,https://pianogrid.com/chords/d-flat-augmented,chords,detail,d flat augmented chord,semrush_2026-09-17,yes,no,,
160,20,/chords/d-flat-m7,https://pianogrid.com/chords/d-flat-m7,chords,detail,dbm7 chord,semrush_2026-09-17,yes,no,,
161,20,/chords/d-madd9,https://pianogrid.com/chords/d-madd9,chords,detail,dmadd9 chord,semrush_2026-09-17,yes,no,,
162,20,/chords/e-flat-add9,https://pianogrid.com/chords/e-flat-add9,chords,detail,ebadd9 chord,semrush_2026-09-17,yes,no,,
163,20,/chords/e-flat-m7-flat5,https://pianogrid.com/chords/e-flat-m7-flat5,chords,detail,ebm7b5 chord,semrush_2026-09-17,yes,no,,
164,20,/chords/e-flat-sus2,https://pianogrid.com/chords/e-flat-sus2,chords,detail,ebsus2 chord,semrush_2026-09-17,yes,no,,
165,20,/chords/e-flat-sus4,https://pianogrid.com/chords/e-flat-sus4,chords,detail,ebsus4 chord,semrush_2026-09-17,yes,no,,
166,20,/chords/e-m7-flat5,https://pianogrid.com/chords/e-m7-flat5,chords,detail,em7b5 chord,semrush_2026-09-17,yes,no,,
167,20,/chords/e-madd9,https://pianogrid.com/chords/e-madd9,chords,detail,emadd9 chord,semrush_2026-09-17,yes,no,,
168,20,/chords/f-m7-flat5,https://pianogrid.com/chords/f-m7-flat5,chords,detail,fm7b5 chord,semrush_2026-09-17,yes,no,,
169,20,/chords/f-sharp-augmented,https://pianogrid.com/chords/f-sharp-augmented,chords,detail,f sharp augmented chord,semrush_2026-09-17,yes,no,,
170,20,/chords/f-sharp-m7-flat5,https://pianogrid.com/chords/f-sharp-m7-flat5,chords,detail,f sharp half diminished chord,semrush_2026-09-17,yes,no,,
171,20,/chords/f-sus4,https://pianogrid.com/chords/f-sus4,chords,detail,fsus4 chord,semrush_2026-09-17,yes,no,,
172,20,/chords/g-m7-flat5,https://pianogrid.com/chords/g-m7-flat5,chords,detail,gm7b5 chord,semrush_2026-09-17,yes,no,,
173,10,/chords/a-madd9,https://pianogrid.com/chords/a-madd9,chords,detail,amadd9 chord,semrush_2026-09-17,yes,no,,
174,10,/chords/f-madd9,https://pianogrid.com/chords/f-madd9,chords,detail,fmadd9 chord,semrush_2026-09-17,yes,no,,
175,10,/chords/f-sharp-sus4,https://pianogrid.com/chords/f-sharp-sus4,chords,detail,f#sus4 chord,semrush_2026-09-17,yes,no,,
176,10,/chords/g-madd9,https://pianogrid.com/chords/g-madd9,chords,detail,gmadd9 chord,semrush_2026-09-17,yes,no,,
177,0,/chords/a-flat-add9,https://pianogrid.com/chords/a-flat-add9,chords,detail,abadd9 chord,semrush_2026-09-17,yes,no,,
178,0,/chords/b-madd9,https://pianogrid.com/chords/b-madd9,chords,detail,bmadd9 chord,semrush_2026-09-17,yes,no,,
179,0,/chords/c-madd9,https://pianogrid.com/chords/c-madd9,chords,detail,c minor add9 chord,semrush_2026-09-17,yes,no,,
180,0,/chords/d-flat-sus4,https://pianogrid.com/chords/d-flat-sus4,chords,detail,dbsus4 chord,semrush_2026-09-17,yes,no,,
181,0,/chords/f-sharp-add9,https://pianogrid.com/chords/f-sharp-add9,chords,detail,f#add9 chord,semrush_2026-09-17,yes,no,,
182,0,/chords/f-sharp-madd9,https://pianogrid.com/chords/f-sharp-madd9,chords,detail,f sharp minor add9 chord,semrush_2026-09-17,yes,no,,
183,0,/chords/f-sharp-sus2,https://pianogrid.com/chords/f-sharp-sus2,chords,detail,f#sus2 chord,semrush_2026-09-17,yes,no,,
,,/,https://pianogrid.com/,homepage,hub,,unknown,yes,yes,2026-09-23,
,,/arpeggios,https://pianogrid.com/arpeggios,arpeggios,hub,arpeggios piano,url_plan_2026-09-08; volume missing,yes,no,,
,,/chords/a-flat-madd9,https://pianogrid.com/chords/a-flat-madd9,chords,detail,,unknown,yes,no,,
,,/chords/add,https://pianogrid.com/chords/add,chords,category,,unknown,yes,no,,
,,/chords/altered,https://pianogrid.com/chords/altered,chords,category,,unknown,yes,no,,
,,/chords/augmented,https://pianogrid.com/chords/augmented,chords,category,,unknown,yes,no,,
,,/chords/b-diminished,https://pianogrid.com/chords/b-diminished,chords,detail,,unknown,yes,no,,
,,/chords/b-flat-madd9,https://pianogrid.com/chords/b-flat-madd9,chords,detail,,unknown,yes,no,,
,,/chords/c-add9,https://pianogrid.com/chords/c-add9,chords,detail,,unknown,yes,no,,
,,/chords/d-flat-add9,https://pianogrid.com/chords/d-flat-add9,chords,detail,,unknown,yes,no,,
,,/chords/d-flat-m7-flat5,https://pianogrid.com/chords/d-flat-m7-flat5,chords,detail,,unknown,yes,no,,
,,/chords/d-flat-madd9,https://pianogrid.com/chords/d-flat-madd9,chords,detail,,unknown,yes,no,,
,,/chords/d-flat-sus2,https://pianogrid.com/chords/d-flat-sus2,chords,detail,,unknown,yes,no,,
,,/chords/diminished,https://pianogrid.com/chords/diminished,chords,category,,unknown,yes,no,,
,,/chords/e-flat-madd9,https://pianogrid.com/chords/e-flat-madd9,chords,detail,,unknown,yes,no,,
,,/chords/extended,https://pianogrid.com/chords/extended,chords,category,,unknown,yes,no,,
,,/chords/major,https://pianogrid.com/chords/major,chords,category,,unknown,yes,no,,
,,/chords/minor,https://pianogrid.com/chords/minor,chords,category,,unknown,yes,no,,
,,/chords/suspended,https://pianogrid.com/chords/suspended,chords,category,,unknown,yes,no,,
,,/sheet-music/ode-to-joy,https://pianogrid.com/sheet-music/ode-to-joy,sheet-music,detail,ode to joy easy piano sheet music,url_plan_2026-09-08; volume missing,yes,no,,
,,/sheet-music/twinkle-twinkle-little-star,https://pianogrid.com/sheet-music/twinkle-twinkle-little-star,sheet-music,detail,twinkle twinkle little star piano sheet music,url_plan_2026-09-08; volume missing,yes,no,,
,,/tools,https://pianogrid.com/tools,tools,hub,,unknown,yes,yes,2026-09-23,
,,/tools/hear-the-difference,https://pianogrid.com/tools/hear-the-difference,tools,tool,,unknown,yes,no,,
