id	url	originalCategory	scope	keyword	volumeUSHistorical	originalPriority	implementedEvidence	releaseAction	sourceGroupIds
U006	/songs/challenging	songs	other_module	hardest piano song	1900	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P004"", ""P025""]"
U007	/songs/pop	songs	other_module	easiest pop piano songs	1300	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P005"", ""P013"", ""P026""]"
U008	/songs/classical	songs	other_module	classical piano songs	1000	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P007"", ""P015""]"
U009	/songs/easy-chords	songs	adjacent_dependency	easy chords songs for beginners piano	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P010""]"
U010	/songs/anime	songs	other_module	most lovely piano anime songs	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P011""]"
U011	/songs/minecraft	songs	other_module	piano minecraft songs	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P012""]"
U012	/songs/rock	songs	other_module	piano rock songs	720	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P016""]"
U013	/songs/taylor-swift	songs	other_module	taylor swift piano songs	720	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P017"", ""P031""]"
U014	/songs/disney	songs	other_module	disney easy piano songs	590	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P019"", ""P021""]"
U015	/songs/wedding	songs	other_module	piano wedding songs	590	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P020""]"
U016	/songs/worship	songs	other_module	piano worship songs	480	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P023"", ""P032""]"
U017	/songs/rap	songs	other_module	rap songs for piano	480	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P024""]"
U018	/songs/piano-and-guitar	songs	other_module	piano and guitar songs	390	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P027""]"
U019	/songs/beatles	songs	other_module	beatles piano songs	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P028""]"
U020	/songs/coldplay	songs	other_module	coldplay piano songs	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P029""]"
U021	/songs/country	songs	other_module	country music piano songs	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P030""]"
U022	/songs/jazz	songs	other_module	jazz piano songs	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P033"", ""P038""]"
U023	/songs/halloween	songs	other_module	piano songs for halloween	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P034""]"
U024	/songs/undertale	songs	other_module	undertale songs on piano	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P035""]"
U025	/sheet-music	sheet_music	other_module	piano music sheet	2900	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P047"", ""P048"", ""P060"", ""P063"", ""P070""]"
U026	/sheet-music/easy	sheet_music	other_module	easy piano sheet music	8100	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P044"", ""P110"", ""P111""]"
U027	/sheet-music/beginner	sheet_music	other_module	beginner piano sheet music	6600	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P045"", ""P106""]"
U028	/sheet-music/christmas	sheet_music	other_module	christmas songs piano score	2900	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P046"", ""P065""]"
U029	/sheet-music/letter-notes	sheet_music	other_module	songs with letters piano	1900	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P050"", ""P051"", ""P097""]"
U030	/sheet-music/annotated	sheet_music	other_module	piano sheet music with letters	1600	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P054"", ""P061""]"
U031	/sheet-music/lead-sheets	sheet_music	adjacent_dependency	piano chords songs	1300	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P062"", ""P071""]"
U032	/sheet-music/pop	sheet_music	other_module	popular piano sheet music	480	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P076"", ""P112""]"
U033	/sheet-music/disney	sheet_music	other_module	disney song piano sheet for beginners	390	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P078"", ""P087""]"
U034	/sheet-music/classical	sheet_music	other_module	classical piano sheet music		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P105"", ""P107""]"
U035	/sheet-music/jazz	sheet_music	other_module	easy jazz piano sheet music		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P108""]"
U037	/sheet-music/jingle-bells	sheet_music	other_module	jingle bells song sheet for piano	2400	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P049"", ""P053"", ""P074""]"
U041	/sheet-music/amazing-grace	sheet_music	other_module	amazing grace song sheet for piano	1300	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P057""]"
U045	/sheet-music/fur-elise	sheet_music	other_module	fur elise piano sheet music easy	720	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P066""]"
U048	/sheet-music/happy-birthday	sheet_music	other_module	happy birthday sheet music piano easy	480	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P073"", ""P083""]"
U052	/sheet-music/hot-cross-buns	sheet_music	other_module	hot cross buns piano keys	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P091""]"
U054	/sheet-music/jesus-loves-me	sheet_music	other_module	jesus loves me piano keys	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P093""]"
U061	/sheet-music/mary-had-a-little-lamb	sheet_music	other_module	mary had a little lamb piano keys	260	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P102""]"
U062	/sheet-music/abc-song	sheet_music	other_module	abc song piano sheet		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P104""]"
U064	/sheet-music/ode-to-joy	sheet_music	other_module	ode to joy easy piano sheet music		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P114""]"
U065	/sheet-music/silent-night	sheet_music	other_module	silent night beginner piano sheet music		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P115""]"
U066	/sheet-music/twinkle-twinkle-little-star	sheet_music	other_module	twinkle twinkle little star piano sheet music		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P116""]"
U070	/keyboard-notes/frequencies	keyboard_notes	other_module	note frequency chart	1300	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P125""]"
U071	/keyboard-notes/finger-numbers	keyboard_notes	core_chords	piano fingering chart	1300	后做	user_report_exists	preserve_and_finish_tasks	"[""P126""]"
U072	/keyboard-notes/blank	keyboard_notes	other_module	piano keys blank page	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P128""]"
U073	/tools/piano-cheat-sheet	keyboard_notes	adjacent_dependency	piano cheat sheet	590	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P131""]"
U074	/keyboard-notes/key-signatures	keyboard_notes	adjacent_dependency	piano key signatures	480	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P136"", ""P244""]"
U077	/chords/b-major	chords	core_chords	b chord piano	3600	后做	user_report_exists	preserve_and_finish_tasks	"[""P150""]"
U079	/chords/a-flat-major	chords	core_chords	a flat chord piano	1000	后做	user_report_exists	preserve_and_finish_tasks	"[""P155""]"
U080	/chords/e-major	chords	core_chords	piano e chord	590	后做	user_report_exists	preserve_and_finish_tasks	"[""P162""]"
U082	/chords/c-minor	chords	core_chords	c minor in piano	260	后做	user_report_exists	preserve_and_finish_tasks	"[""P166""]"
U083	/chords/c-flat-major	chords	core_chords	cb piano chord	260	后做	user_report_exists	preserve_and_finish_tasks	"[""P167""]"
U084	/chords/g-major	chords	core_chords	g chord piano		后做	user_report_exists	preserve_and_finish_tasks	"[""P169""]"
U085	/chords/by-key	chords	core_chords	chords of key	1900	后做	user_report_exists	preserve_and_finish_tasks	"[""P152"", ""P156"", ""P157"", ""P159"", ""P160"", ""P161"", ""P164"", ""P165""]"
U086	/chords/finder	chords	core_chords	chord finder piano	1300	后做	user_report_exists	preserve_and_finish_tasks	"[""P153""]"
U087	/chord-progressions	chord_progressions	core_chords	piano chord progressions	1600	后做	user_report_exists	preserve_and_finish_tasks	"[""P172"", ""P173"", ""P174"", ""P175"", ""P176"", ""P177"", ""P178"", ""P237""]"
U089	/scales/modes	scales	other_module	scale modes	1600	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P182""]"
U092	/scales/blues	scales	other_module	blues scale piano	1000	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P185""]"
U093	/scales/d-major	scales	other_module	d major scale piano	1000	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P186""]"
U094	/scales/e-minor	scales	other_module	e minor scale piano	1000	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P187""]"
U095	/scales/f-major	scales	other_module	f major scale for piano	1000	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P188""]"
U096	/scales/g-major	scales	other_module	g major scale piano	1000	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P189""]"
U097	/scales/pentatonic	scales	other_module	pentatonic scale piano	1000	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P191""]"
U098	/scales/a-major	scales	other_module	a major scale for piano	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P192""]"
U099	/scales/c-minor	scales	other_module	c minor scale piano	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P193""]"
U100	/scales/d-minor	scales	other_module	d minor scale piano	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P194""]"
U101	/scales/e-major	scales	other_module	e major scale piano	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P195""]"
U102	/scales/b-minor	scales	other_module	b minor scale piano	720	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P197""]"
U103	/scales/f-minor	scales	other_module	f minor scale piano	720	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P198""]"
U104	/scales/harmonic-major	scales	other_module	harmonic major scale	720	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P199""]"
U105	/scales/a-sharp-minor	scales	other_module	a# minor scale	590	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P200""]"
U106	/scales/b-major	scales	other_module	b major scale piano	590	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P201""]"
U107	/scales/b-flat-major	scales	other_module	b flat major scale piano	480	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P202""]"
U108	/scales/g-minor	scales	other_module	g minor scale piano	480	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P203""]"
U109	/scales/chromatic	scales	other_module	chromatic scale piano	390	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P205""]"
U110	/scales/e-flat-major	scales	other_module	e flat major scale piano	390	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P206""]"
U111	/scales/f-sharp-minor	scales	other_module	f#m piano scale	390	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P207""]"
U112	/scales/c-flat-major	scales	other_module	cb major scale piano	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P209""]"
U113	/arpeggios	arpeggios	adjacent_dependency	arpeggios piano		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P215"", ""P216"", ""P217""]"
U116	/guide/sight-reading	guide	other_module	sight reading piano tips for improvement	12100	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P219"", ""P234"", ""P264""]"
U117	/guide/piano-chords	guide	core_chords	how to play chords on piano	1900	后做	user_report_exists	preserve_and_finish_tasks	"[""P220"", ""P225"", ""P242""]"
U118	/guide/piano-books	guide	other_module	piano books for beginners	1900	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P221"", ""P251"", ""P258"", ""P260""]"
U119	/guide/learn-a-piano-song	guide	adjacent_dependency	how to play piano songs	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P230"", ""P232""]"
U120	/guide/piano-scales	guide	other_module	piano scales for beginners	880	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P231"", ""P259""]"
U121	/guide/compose-a-piano-song	guide	other_module	make a piano song	320	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P239""]"
U122	/guide/hanon-exercises	guide	other_module	hanon piano exercises		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P245""]"
U123	/guide/note-values-and-rhythm	guide	adjacent_dependency	kinds of notes music	1300	后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P227"", ""P252""]"
U124	/guide/piano-exercises	guide	adjacent_dependency	piano exercises for beginners		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P253"", ""P261""]"
U125	/guide/piano-hand-position	guide	adjacent_dependency	piano hand posture		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P254""]"
U126	/guide/piano-practice	guide	adjacent_dependency	piano practice		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P257""]"
U127	/guide/music-symbols-and-piano-terms	guide	adjacent_dependency	piano terms		后做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P144"", ""P256"", ""P262""]"
U038	/sheet-music/let-it-go	sheet_music	other_module	frozen let it go piano sheet music easy free pdf	1600	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P052"", ""P081""]"
U039	/sheet-music/super-mario-theme	sheet_music	other_module	super mario theme piano sheet music easy free pdf	1600	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P055"", ""P084""]"
U040	/sheet-music/thats-amore	sheet_music	other_module	what are the piano keys to thats amore	1600	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P056""]"
U042	/sheet-music/black-parade	sheet_music	other_module	black parade keys piano	1300	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P058""]"
U043	/sheet-music/clocks	sheet_music	other_module	clocks piano keys	1300	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P059""]"
U044	/sheet-music/from-the-start	sheet_music	other_module	from the start piano sheet music	880	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P064""]"
U046	/sheet-music/song-of-storms	sheet_music	other_module	song of storms piano sheet music	720	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P068""]"
U047	/sheet-music/pink-panther	sheet_music	other_module	pink panther theme song piano sheet	590	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P072"", ""P098""]"
U049	/sheet-music/still-dre	sheet_music	other_module	piano keys for still dre	480	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P075""]"
U050	/sheet-music/carol-of-the-bells	sheet_music	other_module	carol of the bells easy piano sheet music	390	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P077""]"
U051	/sheet-music/edelweiss	sheet_music	other_module	edelweiss song piano sheet	320	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P088""]"
U053	/sheet-music/in-my-life	sheet_music	other_module	in my life piano sheet music	320	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P092""]"
U055	/sheet-music/all-of-me-john-legend	sheet_music	other_module	john legend all of me piano keys	320	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P094""]"
U056	/sheet-music/runaway-kanye-west	sheet_music	other_module	piano keys for runaway kanye west	320	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P095""]"
U057	/sheet-music/piano-man	sheet_music	other_module	piano man sheet music easy	320	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P096""]"
U058	/sheet-music/someone-like-you-adele	sheet_music	other_module	someone like you adele piano keys	320	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P099""]"
U059	/sheet-music/song-of-healing	sheet_music	other_module	song of healing piano sheet music	320	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P100""]"
U060	/sheet-music/a-whole-new-world	sheet_music	other_module	a whole new world piano keys	260	暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P101""]"
U063	/sheet-music/easy-on-me	sheet_music	other_module	easy on me piano sheet music		暂不做	not_established_by_this_chords_audit	preserve_original_plan_no_auto_release	"[""P109""]"
