关键词ID	关键词（原规范词）	搜索量（US原值）	原清洗状态	建议URL	URL ID	优先级	URL处理状态	与URL主词关系	原任务组ID	原页面代表词	原归并关系	原分类	URL分类	搜索意图分组	同页分区	KD	CPC_USD	原工具Intent	原搜索量状态	原来源类型	原来源记录ID	原来源位置	原始拼写	原翻译/纠错记录	原清洗依据	本次URL判断依据	本版交付状态	本版页面模板	本版必须交付
K0082	how to play chords on piano	1900	保留	/guide/piano-chords	U117	后做	有规划URL	URL主关键词	P220	how to play chords on piano	页面代表词	guide	guide	学习弹奏步骤		30	1.71	I	Semrush US原词估算	Semrush US 单词数据	S0306	piano_keyword_research_combined.xlsx｜关键词数据!A311:G311	how to play chords on piano		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	按页面准备顺序验收	T22	步骤、构成、指法示意及连接练习；链接查图工具
K0086	music chord charts piano	1900	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		20	1.42	I	Semrush US原词估算	Semrush US 单词数据	S0308	piano_keyword_research_combined.xlsx｜关键词数据!A313:G313	music chord charts piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0100	chord chart piano	1600	保留	/chords	U075	先做	有规划URL	URL主词的原同义词	P148	piano chord chart	同义词合并	chords	chords	查和弦键位		20	1.54	I	Semrush US原词估算	Semrush US 单词数据	S0309	piano_keyword_research_combined.xlsx｜关键词数据!A314:G314	chord chart piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	默认有图表；根音/类型选择、试听、打印及读图说明。
K0116	piano chord progressions	1600	保留	/chord-progressions	U087	后做	有规划URL	URL主关键词	P173	piano chord progressions	页面代表词	chord_progressions	chord_progressions	查和弦走向		21	1.55	IC	Semrush US原词估算	Semrush US 单词数据; Semrush Strategy Builder 页面建议	S0290; S1766; S1940; S0312; S1875	piano_keyword_research_combined.xlsx｜关键词数据!A295:G295; 关键词策略构建器数据汇总.md｜L107｜piano chord chart > piano chord accompaniment; 关键词策略构建器数据汇总.md｜L464｜piano scales > piano chords and progressions; piano_keyword_research_combined.xlsx｜关键词数据!A317:G317; 关键词策略构建器数据汇总.md｜L325｜beginner piano sheet music > easy piano sheet music with chords	akkordfolgen piano; piano chord progressions	德语翻译	同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0132	a major chord piano	1300	保留	/chords/a-major	U076	先做	有规划URL	URL主词的原同义词	P149	a chord piano	同义词合并	chords	chords	查和弦键位		16	0	I	Semrush US原词估算	Semrush US 单词数据	S0315	piano_keyword_research_combined.xlsx｜关键词数据!A320:G320	a major chord piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0134	am on piano chord	1300	保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位		19	0	I	Semrush US原词估算	Semrush US 单词数据	S0317	piano_keyword_research_combined.xlsx｜关键词数据!A322:G322	am on piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0136	b major chord in piano	1300	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		17	0	I	Semrush US原词估算	Semrush US 单词数据	S0318	piano_keyword_research_combined.xlsx｜关键词数据!A323:G323	b major chord in piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0137	b major chords on piano	1300	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		16	0	I	Semrush US原词估算	Semrush US 单词数据	S0319	piano_keyword_research_combined.xlsx｜关键词数据!A324:G324	b major chords on piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0138	basic piano chords	1300	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P225	basic piano chords	页面代表词	guide	guide	学习弹奏步骤	beginner	28	3.21	I	Semrush US原词估算	Semrush US 单词数据	S0320	piano_keyword_research_combined.xlsx｜关键词数据!A325:G325	basic piano chords		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。
K0145	chord b on piano	1300	保留	/chords/b-major	U077	后做	有规划URL	URL主词的原同义词	P150	b chord piano	同义词合并	chords	chords	查和弦键位		16	0	I	Semrush US原词估算	Semrush US 单词数据	S0321	piano_keyword_research_combined.xlsx｜关键词数据!A326:G326	chord b on piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0146	chord finder piano	1300	保留	/chords/finder	U086	后做	有规划URL	URL主关键词	P153	chord finder piano	页面代表词	chords	chords	识别和弦		14	1.15	I	Semrush US原词估算	Semrush US 单词数据	S0322	piano_keyword_research_combined.xlsx｜关键词数据!A327:G327	chord finder piano		同一对象与同一交付任务；人工词义归并	输入音符求名称与已知和弦查图的输入输出不同，保留独立工具页	按页面准备顺序验收	T09	选择音符；列出可能命名、低音与拼写说明
K0147	chords in the key of a	1300	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	19	0	I	Semrush US原词估算	Semrush US 单词数据	S0323	piano_keyword_research_combined.xlsx｜关键词数据!A328:G328	chords in the key of a		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0170	minor chords piano	1300	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P154	minor chords piano	页面代表词	chords	chords	查和弦键位	minor	19	0	I	Semrush US原词估算	Semrush US 单词数据	S0325	piano_keyword_research_combined.xlsx｜关键词数据!A330:G330	minor chords piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	minor 选择后显示经过核对的实际和弦结果。
K0177	piano fingering chart	1300	保留	/keyboard-notes/finger-numbers	U071	后做	有规划URL	URL主关键词	P126	piano fingering chart	页面代表词	keyboard_notes	keyboard_notes	查手指编号		12	2.1	I	Semrush US原词估算	Semrush US 单词数据; Semrush Strategy Builder 页面建议	S0040; S1965	piano_keyword_research_combined.xlsx｜关键词数据!A45:G45; 关键词策略构建器数据汇总.md｜L510｜piano scales > piano scales and fingering	piano fingering chart		同一对象与同一交付任务；人工词义归并	手指编号与键盘数字、具体音阶指法分开说明，不靠同一个numbers词强合	按页面准备顺序验收	T20	左右手编号图；基础使用说明；链接到具体和弦/音阶指法
K0187	a flat chord piano	1000	保留	/chords/a-flat-major	U079	后做	有规划URL	URL主关键词	P155	a flat chord piano	页面代表词	chords	chords	查和弦键位		18	0	I	Semrush US原词估算	Semrush US 单词数据	S0330	piano_keyword_research_combined.xlsx｜关键词数据!A335:G335	a flat chord piano		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0188	a flat piano chord	1000	保留	/chords/a-flat-major	U079	后做	有规划URL	URL主词的原同义词	P155	a flat chord piano	同义词合并	chords	chords	查和弦键位		17	0	I	Semrush US原词估算	Semrush US 单词数据	S0331	piano_keyword_research_combined.xlsx｜关键词数据!A336:G336	a flat piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0189	a minor piano chord	1000	保留	/chords/a-minor	U078	先做	有规划URL	URL主词的原同义词	P151	am piano chord	同义词合并	chords	chords	查和弦键位		12	0	I	Semrush US原词估算	Semrush US 单词数据	S0332	piano_keyword_research_combined.xlsx｜关键词数据!A337:G337	a minor piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0196	chords in g major scale piano	1000	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P156	chords in g major scale piano	页面代表词	chords	chords	查调内和弦	g-major	15	0	I	Semrush US原词估算	Semrush US 单词数据	S0044	piano_keyword_research_combined.xlsx｜关键词数据!A49:G49	chords in g major scale piano		人工复核为同一查询任务	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查G大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0197	chords of a major key	1000	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	16	0	I	Semrush US原词估算	Semrush US 单词数据	S0333	piano_keyword_research_combined.xlsx｜关键词数据!A338:G338	chords of a major key		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0224	major key chords	1000	保留	/chords/by-key	U085	后做	有规划URL	URL主词的原同义词	P152	chords of key	同义词合并	chords	chords	查调内和弦		20	0	I	Semrush US原词估算	Semrush US 单词数据	S0334	piano_keyword_research_combined.xlsx｜关键词数据!A339:G339	major key chords		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	按页面准备顺序验收	T08	有内容的调性选择器与各级和弦表；支持已有G/D/C/E/A/F及D minor任务
K0238	piano chords and progressions	1000	保留	/chord-progressions	U087	后做	有规划URL	URL主词的原同义词	P173	piano chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向		28	1.18	I	Semrush US原词估算	Semrush US 单词数据	S0337	piano_keyword_research_combined.xlsx｜关键词数据!A342:G342	piano chords and progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0260	a major key chords	880	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	19	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0341	piano_keyword_research_combined.xlsx｜关键词数据!A346:G346	a major key chords		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0266	chord progressions piano	880	保留	/chord-progressions	U087	后做	有规划URL	URL主词的原同义词	P173	piano chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向		23	1.55	IC	Semrush US原词估算	Semrush US 单词数据	S0343	piano_keyword_research_combined.xlsx｜关键词数据!A348:G348	chord progressions piano		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0267	chords in the key of a major	880	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	19	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0344	piano_keyword_research_combined.xlsx｜关键词数据!A349:G349	chords in the key of a major		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0268	d major scale piano chords	880	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P157	d major scale piano chords	页面代表词	chords	chords	查调内和弦	d-major	21	0	I	Semrush US原词估算	Semrush US 单词数据	S0069	piano_keyword_research_combined.xlsx｜关键词数据!A74:G74	d major scale piano chords		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查D大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0275	easy piano chords	880	保留	/guide/piano-chords	U117	后做	有规划URL	同页其他任务/查询；原归并关系另存	P225	basic piano chords	同义词合并	guide	guide	学习弹奏步骤	beginner	23	2.75	I	Semrush US原词估算	Semrush US 单词数据	S0346	piano_keyword_research_combined.xlsx｜关键词数据!A351:G351	easy piano chords		同一对象与同一交付任务；人工词义归并	基础和弦选学与连接动作按学习顺序合页；和弦表本身归/chords，不做重复的第二字典	后续同页补齐	T22	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。
K0288	g major scale piano chords	880	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P156	chords in g major scale piano	同义词合并	chords	chords	查调内和弦	g-major	22	0	I	Semrush US原词估算	Semrush US 单词数据	S0078	piano_keyword_research_combined.xlsx｜关键词数据!A83:G83	g major scale piano chords		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查G大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0294	major chords piano	880	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P158	major chords piano	页面代表词	chords	chords	查和弦键位	major	22	1.17	I	Semrush US原词估算	Semrush US 单词数据	S0347	piano_keyword_research_combined.xlsx｜关键词数据!A352:G352	major chords piano		同义表达；保留全部来源	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	已确认基础范围	T06	major 选择后显示经过核对的实际和弦结果。
K0318	popular chord progressions	880	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P172	common chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向	common	27	0.19	I	Semrush US原词估算	Semrush US 单词数据	S0350	piano_keyword_research_combined.xlsx｜关键词数据!A355:G355	popular chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。
K0334	a major piano chord	720	保留	/chords/a-major	U076	先做	有规划URL	URL主词的原同义词	P149	a chord piano	同义词合并	chords	chords	查和弦键位		23	0	I	Semrush US原词估算	Semrush US 单词数据	S0351	piano_keyword_research_combined.xlsx｜关键词数据!A356:G356	a major piano chord		同一对象与同一交付任务；人工词义归并	音名/和弦品质不同且来源已有该对象需求，允许共享模板但独立内容；不生成未在词表中的音符组合	模板已确认；此实例内容待审核	T07	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接
K0335	a major scale chords	720	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	16	0	I	Semrush US原词估算	Semrush US 单词数据	S0093	piano_keyword_research_combined.xlsx｜关键词数据!A98:G98	a major scale chords		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0343	c major scale chords piano	720	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P159	c major scale chords piano	页面代表词	chords	chords	查调内和弦	c-major	19	1.09	I	Semrush US原词估算	Semrush US 单词数据	S0097	piano_keyword_research_combined.xlsx｜关键词数据!A102:G102	c major scale chords piano		同一对象与同一交付任务；人工词义归并	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查C大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。
K0345	chord sequences	720	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P173	piano chord progressions	同页补充/条件/问题（非同义）	chord_progressions	chord_progressions	查和弦走向		31	0.68	I	Semrush US原词估算	Semrush US 单词数据	S0354	piano_keyword_research_combined.xlsx｜关键词数据!A359:G359	chord sequences		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	按页面准备顺序验收	T10	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印
K0346	chords for the key of a	720	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	14	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0356	piano_keyword_research_combined.xlsx｜关键词数据!A361:G361	chords for the key of a		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0347	chords key a	720	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	20	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0357	piano_keyword_research_combined.xlsx｜关键词数据!A362:G362	chords key a		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0380	key of a chords	720	保留	/chords/by-key	U085	后做	有规划URL	同页其他任务/查询；原归并关系另存	P161	piano chords in a	同页补充/条件/问题（非同义）	chords	chords	查调内和弦	a-major	14	2.38	I	Semrush US原词估算	Semrush US 单词数据	S0358	piano_keyword_research_combined.xlsx｜关键词数据!A363:G363	key of a chords		共享乐理可由本任务内容覆盖；非同义，不使用其量替代钢琴代表词量	调内和弦集合不等于单个同名和弦；初版各调先用一张查询表承接，不机械复制调性URL	后续同页补齐	T08	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。
K0388	minor chords on the piano	720	保留	/chords	U075	先做	有规划URL	同页其他任务/查询；原归并关系另存	P154	minor chords piano	同义词合并	chords	chords	查和弦键位	minor	19	0	I	Semrush US原词估算	Semrush US 单词数据	S0359	piano_keyword_research_combined.xlsx｜关键词数据!A364:G364	minor chords on the piano		同一对象与同一交付任务；人工词义归并	同一字典中的类型、print/PDF和读图FAQ不单独重复建页；七和弦集合不改写成major7	后续同页补齐	T06	minor 选择后显示经过核对的实际和弦结果。
K0390	most common chord progressions	720	保留	/chord-progressions	U087	后做	有规划URL	同页其他任务/查询；原归并关系另存	P172	common chord progressions	同义词合并	chord_progressions	chord_progressions	查和弦走向	common	18	0.08	I	Semrush US原词估算	Semrush US 单词数据	S0360	piano_keyword_research_combined.xlsx｜关键词数据!A365:G365	most common chord progressions		同一对象与同一交付任务；人工词义归并	common、调性、情绪先在同一有例子的走向库筛选；并非同义合并；不把通用common词量替代piano主词量	后续同页补齐	T10	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。
