url,family,chord_name,candidate_keyword_1,candidate_keyword_2,candidate_keyword_3,current_title,current_h1,original_mapping,volume_us,status
/chords/f-madd9,Minor Add9,F minor add9,fm(add9) chord,f minor add9 chord,fm(add9) piano chord,"Fm(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",Fm(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-sharp-madd9,Minor Add9,F-sharp minor add9,f#m(add9) chord,f sharp minor add9 chord,f#m(add9) piano chord,"F♯m(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",F♯m(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/g-madd9,Minor Add9,G minor add9,gm(add9) chord,g minor add9 chord,gm(add9) piano chord,"Gm(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",Gm(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-madd9,Minor Add9,A-flat minor add9,abm(add9) chord,a flat minor add9 chord,abm(add9) piano chord,"A♭m(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",A♭m(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-madd9,Minor Add9,A minor add9,am(add9) chord,a minor add9 chord,am(add9) piano chord,"Am(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",Am(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-madd9,Minor Add9,B-flat minor add9,bbm(add9) chord,b flat minor add9 chord,bbm(add9) piano chord,"B♭m(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",B♭m(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-madd9,Minor Add9,B minor add9,bm(add9) chord,b minor add9 chord,bm(add9) piano chord,"Bm(add9) Piano Chord: Notes, Voicings & Practice | PianoGrid",Bm(add9) Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-7,Dominant 7,A Dominant Seventh,a7 chord,a7 piano chord,a dominant 7 chord,A Dominant Seventh Piano Chord (A7): Notes & Inversions,A Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-7,Dominant 7,A♭ Dominant Seventh,ab7 chord,ab7 piano chord,a flat dominant 7 chord,A♭ Dominant Seventh Piano Chord (A♭7): Notes & Inversions,A♭ Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-m7,Minor 7,A♭ Minor Seventh,abm7 chord,a flat minor 7 chord,a flat minor 7 piano chord,A♭ Minor Seventh Piano Chord (A♭m7): Notes & Inversions,A♭ Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-m7-flat5,Half-diminished 7,A♭ Half-Diminished Seventh,abm7b5 chord,a flat half diminished chord,a flat half diminished 7 piano chord,A♭ Half-Diminished Seventh Piano Chord (A♭m7♭5): Notes & Inversions,A♭ Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-maj7,Major 7,A♭ Major Seventh,abmaj7 chord,a flat major 7 chord,a flat major 7 piano chord,A♭ Major Seventh Piano Chord (A♭maj7): Notes & Inversions,A♭ Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-m7,Minor 7,A Minor Seventh,am7 chord,a minor 7 chord,a minor 7 piano chord,A Minor Seventh Piano Chord (Am7): Notes & Inversions,A Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-m7-flat5,Half-diminished 7,A Half-Diminished Seventh,am7b5 chord,a half diminished chord,a half diminished 7 piano chord,A Half-Diminished Seventh Piano Chord (Am7♭5): Notes & Inversions,A Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-maj7,Major 7,A Major Seventh,amaj7 chord,a major 7 chord,a major 7 piano chord,A Major Seventh Piano Chord (Amaj7): Notes & Inversions,A Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-7,Dominant 7,B Dominant Seventh,b7 chord,b7 piano chord,b dominant 7 chord,B Dominant Seventh Piano Chord (B7): Notes & Inversions,B Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-7,Dominant 7,B♭ Dominant Seventh,bb7 chord,bb7 piano chord,b flat dominant 7 chord,B♭ Dominant Seventh Piano Chord (B♭7): Notes & Inversions,B♭ Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-m7,Minor 7,B♭ Minor Seventh,bbm7 chord,b flat minor 7 chord,b flat minor 7 piano chord,B♭ Minor Seventh Piano Chord (B♭m7): Notes & Inversions,B♭ Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-m7-flat5,Half-diminished 7,B♭ Half-Diminished Seventh,bbm7b5 chord,b flat half diminished chord,b flat half diminished 7 piano chord,B♭ Half-Diminished Seventh Piano Chord (B♭m7♭5): Notes & Inversions,B♭ Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-maj7,Major 7,B♭ Major Seventh,bbmaj7 chord,b flat major 7 chord,b flat major 7 piano chord,B♭ Major Seventh Piano Chord (B♭maj7): Notes & Inversions,B♭ Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-m7,Minor 7,B Minor Seventh,bm7 chord,b minor 7 chord,b minor 7 piano chord,B Minor Seventh Piano Chord (Bm7): Notes & Inversions,B Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-m7-flat5,Half-diminished 7,B Half-Diminished Seventh,bm7b5 chord,b half diminished chord,b half diminished 7 piano chord,B Half-Diminished Seventh Piano Chord (Bm7♭5): Notes & Inversions,B Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-maj7,Major 7,B Major Seventh,bmaj7 chord,b major 7 chord,b major 7 piano chord,B Major Seventh Piano Chord (Bmaj7): Notes & Inversions,B Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/c-7,Dominant 7,C Dominant Seventh,c7 chord,c7 piano chord,c dominant 7 chord,C Dominant Seventh Piano Chord (C7): Notes & Inversions,C Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/c-m7,Minor 7,C Minor Seventh,cm7 chord,c minor 7 chord,c minor 7 piano chord,C Minor Seventh Piano Chord (Cm7): Notes & Inversions,C Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/c-m7-flat5,Half-diminished 7,C Half-Diminished Seventh,cm7b5 chord,c half diminished chord,c half diminished 7 piano chord,C Half-Diminished Seventh Piano Chord (Cm7♭5): Notes & Inversions,C Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/c-maj7,Major 7,C Major Seventh,cmaj7 chord,c major 7 chord,c major 7 piano chord,C Major Seventh Piano Chord (Cmaj7): Notes & Inversions,C Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-7,Dominant 7,D Dominant Seventh,d7 chord,d7 piano chord,d dominant 7 chord,D Dominant Seventh Piano Chord (D7): Notes & Inversions,D Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-flat-7,Dominant 7,D♭ Dominant Seventh,db7 chord,db7 piano chord,d flat dominant 7 chord,D♭ Dominant Seventh Piano Chord (D♭7): Notes & Inversions,D♭ Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-flat-m7,Minor 7,D♭ Minor Seventh,dbm7 chord,d flat minor 7 chord,d flat minor 7 piano chord,D♭ Minor Seventh Piano Chord (D♭m7): Notes & Inversions,D♭ Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-flat-m7-flat5,Half-diminished 7,D♭ Half-Diminished Seventh,dbm7b5 chord,d flat half diminished chord,d flat half diminished 7 piano chord,D♭ Half-Diminished Seventh Piano Chord (D♭m7♭5): Notes & Inversions,D♭ Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-flat-maj7,Major 7,D♭ Major Seventh,dbmaj7 chord,d flat major 7 chord,d flat major 7 piano chord,D♭ Major Seventh Piano Chord (D♭maj7): Notes & Inversions,D♭ Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-m7,Minor 7,D Minor Seventh,dm7 chord,d minor 7 chord,d minor 7 piano chord,D Minor Seventh Piano Chord (Dm7): Notes & Inversions,D Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-m7-flat5,Half-diminished 7,D Half-Diminished Seventh,dm7b5 chord,d half diminished chord,d half diminished 7 piano chord,D Half-Diminished Seventh Piano Chord (Dm7♭5): Notes & Inversions,D Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/d-maj7,Major 7,D Major Seventh,dmaj7 chord,d major 7 chord,d major 7 piano chord,D Major Seventh Piano Chord (Dmaj7): Notes & Inversions,D Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-7,Dominant 7,E Dominant Seventh,e7 chord,e7 piano chord,e dominant 7 chord,E Dominant Seventh Piano Chord (E7): Notes & Inversions,E Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-flat-7,Dominant 7,E♭ Dominant Seventh,eb7 chord,eb7 piano chord,e flat dominant 7 chord,E♭ Dominant Seventh Piano Chord (E♭7): Notes & Inversions,E♭ Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-flat-m7,Minor 7,E♭ Minor Seventh,ebm7 chord,e flat minor 7 chord,e flat minor 7 piano chord,E♭ Minor Seventh Piano Chord (E♭m7): Notes & Inversions,E♭ Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-flat-m7-flat5,Half-diminished 7,E♭ Half-Diminished Seventh,ebm7b5 chord,e flat half diminished chord,e flat half diminished 7 piano chord,E♭ Half-Diminished Seventh Piano Chord (E♭m7♭5): Notes & Inversions,E♭ Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-flat-maj7,Major 7,E♭ Major Seventh,ebmaj7 chord,e flat major 7 chord,e flat major 7 piano chord,E♭ Major Seventh Piano Chord (E♭maj7): Notes & Inversions,E♭ Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-m7,Minor 7,E Minor Seventh,em7 chord,e minor 7 chord,e minor 7 piano chord,E Minor Seventh Piano Chord (Em7): Notes & Inversions,E Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-m7-flat5,Half-diminished 7,E Half-Diminished Seventh,em7b5 chord,e half diminished chord,e half diminished 7 piano chord,E Half-Diminished Seventh Piano Chord (Em7♭5): Notes & Inversions,E Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/e-maj7,Major 7,E Major Seventh,emaj7 chord,e major 7 chord,e major 7 piano chord,E Major Seventh Piano Chord (Emaj7): Notes & Inversions,E Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-7,Dominant 7,F Dominant Seventh,f7 chord,f7 piano chord,f dominant 7 chord,F Dominant Seventh Piano Chord (F7): Notes & Inversions,F Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-m7,Minor 7,F Minor Seventh,fm7 chord,f minor 7 chord,f minor 7 piano chord,F Minor Seventh Piano Chord (Fm7): Notes & Inversions,F Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-m7-flat5,Half-diminished 7,F Half-Diminished Seventh,fm7b5 chord,f half diminished chord,f half diminished 7 piano chord,F Half-Diminished Seventh Piano Chord (Fm7♭5): Notes & Inversions,F Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-maj7,Major 7,F Major Seventh,fmaj7 chord,f major 7 chord,f major 7 piano chord,F Major Seventh Piano Chord (Fmaj7): Notes & Inversions,F Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-sharp-7,Dominant 7,F♯ Dominant Seventh,f#7 chord,f#7 piano chord,f sharp dominant 7 chord,F♯ Dominant Seventh Piano Chord (F♯7): Notes & Inversions,F♯ Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-sharp-m7,Minor 7,F♯ Minor Seventh,f#m7 chord,f sharp minor 7 chord,f sharp minor 7 piano chord,F♯ Minor Seventh Piano Chord (F♯m7): Notes & Inversions,F♯ Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-sharp-m7-flat5,Half-diminished 7,F♯ Half-Diminished Seventh,f#m7b5 chord,f sharp half diminished chord,f sharp half diminished 7 piano chord,F♯ Half-Diminished Seventh Piano Chord (F♯m7♭5): Notes & Inversions,F♯ Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/f-sharp-maj7,Major 7,F♯ Major Seventh,f#maj7 chord,f sharp major 7 chord,f sharp major 7 piano chord,F♯ Major Seventh Piano Chord (F♯maj7): Notes & Inversions,F♯ Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/g-7,Dominant 7,G Dominant Seventh,g7 chord,g7 piano chord,g dominant 7 chord,G Dominant Seventh Piano Chord (G7): Notes & Inversions,G Dominant Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/g-m7,Minor 7,G Minor Seventh,gm7 chord,g minor 7 chord,g minor 7 piano chord,G Minor Seventh Piano Chord (Gm7): Notes & Inversions,G Minor Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/g-m7-flat5,Half-diminished 7,G Half-Diminished Seventh,gm7b5 chord,g half diminished chord,g half diminished 7 piano chord,G Half-Diminished Seventh Piano Chord (Gm7♭5): Notes & Inversions,G Half-Diminished Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/g-maj7,Major 7,G Major Seventh,gmaj7 chord,g major 7 chord,g major 7 piano chord,G Major Seventh Piano Chord (Gmaj7): Notes & Inversions,G Major Seventh Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-augmented,Augmented,A Augmented,a augmented chord,a augmented piano chord,aaug piano chord,A Augmented Piano Chord (Aaug): Notes & Inversions | PianoGrid,A Augmented Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-diminished,Diminished,A Diminished,a diminished chord,a diminished piano chord,adim piano chord,A Diminished Piano Chord (Adim): Notes & Inversions | PianoGrid,A Diminished Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-augmented,Augmented,A♭ Augmented,a flat augmented chord,ab augmented chord,a flat augmented piano chord,A♭ Augmented Piano Chord (A♭aug): Notes & Inversions | PianoGrid,A♭ Augmented Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-diminished,Diminished,A♭ Diminished,a flat diminished chord,ab diminished chord,a flat diminished piano chord,A♭ Diminished Piano Chord (A♭dim): Notes & Inversions,A♭ Diminished Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-sus2,Sus2,A♭ Suspended 2nd,absus2 chord,a flat sus2 chord,a flat sus2 piano chord,A♭ Suspended 2nd Piano Chord (A♭sus2): Notes & Inversions,A♭ Suspended 2nd Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-flat-sus4,Sus4,A♭ Suspended 4th,absus4 chord,a flat sus4 chord,a flat sus4 piano chord,A♭ Suspended 4th Piano Chord (A♭sus4): Notes & Inversions,A♭ Suspended 4th Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-sus2,Sus2,A Suspended 2nd,asus2 chord,a sus2 chord,a sus2 piano chord,A Suspended 2nd Piano Chord (Asus2): Notes & Inversions,A Suspended 2nd Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/a-sus4,Sus4,A Suspended 4th,asus4 chord,a sus4 chord,a sus4 piano chord,A Suspended 4th Piano Chord (Asus4): Notes & Inversions,A Suspended 4th Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-augmented,Augmented,B Augmented,b augmented chord,b augmented piano chord,baug piano chord,B Augmented Piano Chord (Baug): Notes & Inversions | PianoGrid,B Augmented Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-diminished,Diminished,B Diminished,b diminished chord,b diminished piano chord,bdim piano chord,B Diminished Piano Chord (Bdim): Notes & Inversions | PianoGrid,B Diminished Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-augmented,Augmented,B♭ Augmented,b flat augmented chord,bb augmented chord,b flat augmented piano chord,B♭ Augmented Piano Chord (B♭aug): Notes & Inversions | PianoGrid,B♭ Augmented Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-diminished,Diminished,B♭ Diminished,b flat diminished chord,bb diminished chord,b flat diminished piano chord,B♭ Diminished Piano Chord (B♭dim): Notes & Inversions,B♭ Diminished Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-sus2,Sus2,B♭ Suspended 2nd,bbsus2 chord,b flat sus2 chord,b flat sus2 piano chord,B♭ Suspended 2nd Piano Chord (B♭sus2): Notes & Inversions,B♭ Suspended 2nd Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-flat-sus4,Sus4,B♭ Suspended 4th,bbsus4 chord,b flat sus4 chord,b flat sus4 piano chord,B♭ Suspended 4th Piano Chord (B♭sus4): Notes & Inversions,B♭ Suspended 4th Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-sus2,Sus2,B Suspended 2nd,bsus2 chord,b sus2 chord,b sus2 piano chord,B Suspended 2nd Piano Chord (Bsus2): Notes & Inversions,B Suspended 2nd Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/b-sus4,Sus4,B Suspended 4th,bsus4 chord,b sus4 chord,b sus4 piano chord,B Suspended 4th Piano Chord (Bsus4): Notes & Inversions,B Suspended 4th Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
/chords/c-augmented,Augmented,C Augmented,c augmented chord,c augmented piano chord,caug piano chord,C Augmented Piano Chord (Caug): Notes & Inversions | PianoGrid,C Augmented Piano Chord,GENERATED_WITHOUT_ORIGINAL_KEYWORD_MAPPING,,UNVERIFIED_DETAIL
